id,peso,entrada_espanol,forma_espanol,tipo_abreviado,tipo_palabra,traduccion_tsotsil,uso_o_ejemplo,region_abreviada,region,vease,nota_parentesis,transcripcion_original
1681,84,lucir,luce,vi,verbo intransitivo,ta xojobian,Las estrellas lucen en la noche obscura. Li c'analetique lec xojobian ta actubaltic. Cham ta xojobinan Ch!en ta xojoban [xt xleblun,Cham; Ch'en,Chamula; Chenalhó,,,lucir: luce vi ta xojobian. Las ta xojobian. Las estrellas lucen en la noche obscura. Li c'analetique lec xojobian ta actubaltic. Cham ta xojobinan Ch!en ta xojoban [xt xleblun
1682,84,luchar,lucha,vi,verbo intransitivo,"ta xac'be yipal, ta suj sba. Estoy luchando por terminar pronto este trabajo. Yacun chcactbe yipal ta slajesel ta ora li abtel lili.",,,,,,"luchar: lucha vi ta xac'be yipal, ta ta xac'be yipal, ta suj sba. Estoy luchando por terminar pronto este trabajo. Yacun chcactbe yipal ta slajesel ta ora li abtel lili."
1683,84,luego,,adv,adverbio,ta ora hasta luego tey jctopon jbatic Ch/en tey jctopan jbatic Ixr te jctopon jbatic,,Ixt,Ixtapa,,,luego adv ta ora hasta luego tey ta ora hasta luego tey jctopon jbatic Ch/en tey jctopan jbatic Ixr te jctopon jbatic
1684,84,lugar,,m,sustantivo masculino,li bu el lugar de yav,"Este es el lugar donde asesinaron al hombre. Li li'i ja! li bu la smilic li vinique. en lugar de ti yutun. En lugar de sanar, el enfermo falleció. Ti yu'un ta smeltsaj li jchamele solel icham",,,,,"lugar m li bu el lugar de yav. Este li bu el lugar de yav. Este es el lugar donde asesinaron al hombre. Li li'i ja! li bu la smilic li vinique. en lugar de ti yutun. En lugar de sanar, el enfermo falleció. Ti yu'un ta smeltsaj li jchamele solel icham."
1685,84,lumbre,,f,sustantivo femenino,c!oc!,La mujer hace la lumbre en el fogón para preparar la comida. Li antse ta spas cloc! ta yav cloc! sventa ta smeltsan o li ve'lile,,,,,lumbre f c!oc!. La mujer hace la c!oc!. La mujer hace la lumbre en el fogón para preparar la comida. Li antse ta spas cloc! ta yav cloc! sventa ta smeltsan o li ve'lile.
1686,84,luna,,f,sustantivo femenino,"u, jchtulme'tic, jme'tic xt jme'tic u hace luna sacmesan u, sacjaman jch'ulme'tic. Caminamos toda la noche porque hacía luna. Lijxanavcutic sjunul actubal yutun lec sacmesan li ue. Cham xc!actalinan jme'tic luna creciente yunenal u, yunenal jch'ulme'tic Cham, Ch!en yuninal jmettic luna llena splejel u. En tiempo de luna llena, no se oscurece en toda la noche. Li ta sp'ejel li ue, mu x'ictub sjunul actubal. Ixt nojem jmettic u tarántula araña (om) (yerva) tijerilla (tslurupic) ciempiés (xjochoch) (sip) cucaracha (maco!) hormiga (xinich) escarabajo buey, escarabajo rinoceronte (stsec) (xul-ton)",,Cham; Ch'en; Ixt,Chamula; Chenalhó; Ixtapa,,om; yerva; tslurupic; xjochoch; sip; maco!; xinich; stsec; xul-ton,"luna f u, jchtulme'tic, jme'tic xt u, jchtulme'tic, jme'tic xt jme'tic u hace luna sacmesan u, sacjaman jch'ulme'tic. Caminamos toda la noche porque hacía luna. Lijxanavcutic sjunul actubal yutun lec sacmesan li ue. Cham xc!actalinan jme'tic luna creciente yunenal u, yunenal jch'ulme'tic Cham, Ch!en yuninal jmettic luna llena splejel u. En tiempo de luna llena, no se oscurece en toda la noche. Li ta sp'ejel li ue, mu x'ictub sjunul actubal. Ixt nojem jmettic u tarántula araña (om) (yerva) tijerilla (tslurupic) ciempiés (xjochoch) (sip) cucaracha (maco!) hormiga (xinich) escarabajo buey, escarabajo rinoceronte (stsec) (xul-ton)"
1687,86,lunar,,m,sustantivo masculino,vajbal /xt bajba,,,,,,lunar m vajbal /xt bajba vajbal /xt bajba
1688,86,luz,,f,sustantivo femenino,xojobal p.ej. del sol; ctoc! p.ej. de lámpara,"La luz del sol deslumbra los ojos. Li ta xojobal ctactale ta xtup! o jsatic. a primera luz naca to!ox ta sacub. A primera luz del día me fui a mi rancho. C'alal naca to'ox chal ta sacube, libat ta jrancho. da a luz ta xalantas, ta svoq!ues. Mi hermana dio a luz un niño. Li jvixe laj yalantas jun unen querem. Cham, Chien ta svoqlues Ixt ta sman yol LL",Cham; Ixt,Chamula; Ixtapa,,,"luz f xojobal p.ej. del sol; ctoc! xojobal p.ej. del sol; ctoc! p.ej. de lámpara. La luz del sol deslumbra los ojos. Li ta xojobal ctactale ta xtup! o jsatic. a primera luz naca to!ox ta sacub. A primera luz del día me fui a mi rancho. C'alal naca to'ox chal ta sacube, libat ta jrancho. da a luz ta xalantas, ta svoq!ues. Mi hermana dio a luz un niño. Li jvixe laj yalantas jun unen querem. Cham, Chien ta svoqlues Ixt ta sman yol LL"
1689,86,llamar,lo llama,vt,verbo transitivo,"ta xic!, ta xapta (a gritas)",,,,,a gritas,"llamar: lo llama ví ta xic!, ta xapta ta xic!, ta xapta (a gritas)"
1690,86,llano,,m,sustantivo masculino,"yaxaltic, stenlej",Los caballos andan corriendo en el llano. Li caletique ch-anilaj ta yaxaltic,,,,,"llano m yaxaltic, stenlej. Los caballos yaxaltic, stenlej. Los caballos andan corriendo en el llano. Li caletique ch-anilaj ta yaxaltic."
