id,peso,entrada_espanol,forma_espanol,tipo_abreviado,tipo_palabra,traduccion_tsotsil,uso_o_ejemplo,region_abreviada,region,vease,nota_parentesis,transcripcion_original
1590,80,jonote,,m,sustantivo masculino,bot. En mi rumbo usamos ja corteza del jonote para amarrar jas vigas de la casa. Li ta jlumale jtuncutic li yaq'uil bot sventa chucobil ts'abtetetique. Zin bot te!,,Zin,Zinacantán,,,jonote m bot. En mi rumbo usamos bot. En mi rumbo usamos ja corteza del jonote para amarrar jas vigas de la casa. Li ta jlumale jtuncutic li yaq'uil bot sventa chucobil ts'abtetetique. Zin bot te!
1591,80,jor,,f,sustantivo femenino,xanbal,"El gobernador 'ó en su jornada varios pueblos de la región. Li c!alal iloc! ta xanbal li ajvalile, laj sjulalan jayib jteclumetic li butic sventainoje. Chien xanobal",,,,,"jor f xanbal. El gobernador xanbal. El gobernador 'ó en su jornada varios pueblos de la región. Li c!alal iloc! ta xanbal li ajvalile, laj sjulalan jayib jteclumetic li butic sventainoje. Chien xanobal"
1592,80,jornalero,,m,sustantivo masculino,jpascanal vinic. peones son jornaleros. Li jlabteletique ja! jpascanal viniquetic.,,,,,,jornalero m jpascanal vinic. jpascanal vinic. peones son jornaleros. Li jlabteletique ja! jpascanal viniquetic.
1593,80,jorobado,,m,sustantivo masculino,plus-pat,"Los viejitos se van haciendo jorobados con la edad, pues se les encorva la espalda. Li moletique ta ctunc'un ta spasic ta plus-pat li ta smolalique. Cham vujvuj Chlen bus-pat Lxt cujul",Cham,Chamula,,,"jorobado m plus-pat. Los viejitos se plus-pat. Los viejitos se van haciendo jorobados con la edad, pues se les encorva la espalda. Li moletique ta ctunc'un ta spasic ta plus-pat li ta smolalique. Cham vujvuj Chlen bus-pat Lxt cujul"
1594,80,joven,,m,sustantivo masculino,"querem vinic 1xt, Zin crem vinic",,Zin,Zinacantán,,,"joven m querem vinic 1xt, Zin crem querem vinic 1xt, Zin crem vinic"
1595,80,juego,,m,sustantivo masculino,tajimol,,,,,,juego m tajimol tajimol
1596,80,juez,,m,sustantivo masculino,jmeltsanej-ctop,El juez no lo condenó; lo declaró inocente. Li jmeltsanej-<!ope mo! stic! ta chuquel yulun muc bu istabe smul. Cham jchapanvanej Zin jmeltsanvanej Los,Cham; Zin,Chamula; Zinacantán,,,juez m jmeltsanej-ctop. El juez no lo jmeltsanej-ctop. El juez no lo condenó; lo declaró inocente. Li jmeltsanej-<!ope mo! stic! ta chuquel yulun muc bu istabe smul. Cham jchapanvanej Zin jmeltsanvanej Los
1597,81,jugar,juega,vi,verbo intransitivo,ta xtajin,"Los niños juegan todas las tardes fuera de la escuela, Scotol mal cactal li unetique ta xtajinic ta pat chanob-jun",,,,,"jugar: juega vi ta xtajin. Los niños ta xtajin. Los niños juegan todas las tardes fuera de la escuela, Scotol mal cactal li unetique ta xtajinic ta pat chanob-jun."
1598,81,jugo,,m,sustantivo masculino,ya'lel,,,,,,jugo m ya'lel ya'lel
1599,81,juguete,,m,sustantivo masculino,"ixtalal su juguete yixtol. En mi pueblo los niños hacen sus juguetes con carrizo o con trozos de madera. Li ta jteclumale li unetique ta spasic yixtolic ta aj mi ta splasalul teletic. Cham, Ch!en, Zin ixtolal",,Cham; Ch'en; Zin,Chamula; Chenalhó; Zinacantán,,,"juguete m ixtalal su juguete yixtol. ixtalal su juguete yixtol. En mi pueblo los niños hacen sus juguetes con carrizo o con trozos de madera. Li ta jteclumale li unetique ta spasic yixtolic ta aj mi ta splasalul teletic. Cham, Ch!en, Zin ixtolal"
