id,peso,entrada_tsotsil,tipo_abreviado,tipo_palabra,categoria_general,traduccion_espanol,uso_o_ejemplo,region_abreviada,region,vease,nota_parentesis,transcripcion_original
5403,173,la pared.,,,variante dialectal,ta xquicbuj Véase,Li te! li'i ta xquiqui ta c'alna.,Ch'en,Chenalhó,"quiquil ta xquiqui ví se inclina, se apoya, se reclina; quiquil ta xquitstitstuj ví chirría",,"la pared. Ch'en ta xquicbuj Véase quiquil ta xquiqui ví se inclina, se apoya, se reclina. Li te! li'i ta xquiqui ta c'alna. Estos palos se van a inclinar en la pared. Véase quiquil ta xquitstitstuj ví chirría"
5404,173,quitstilbac,s,sustantivo,sustantivo,esqueleto,,,,,,quitstilbac s esqueleto
5405,173,xquitsitstet,vd,verbo descriptivo,verbo,está chirriando,,,,,,xquitsitstet vd está chirriando
5406,173,ta xqlueji,vi,verbo intransitivo,verbo,"se aparta, se quita. Li",Li big'uit quereme ta xq'ueji ti mi iyil ti tey xtal li ca'etique.,,,,,"ta xqlueji vi se aparta, se quita. Li big'uit quereme ta xq'ueji ti mi iyil ti tey xtal li ca'etique. El niño"
5407,173,se aparta si,ve,verbo de estado,verbo,que vienen los,,,,q'uejel,,se aparta si ve que vienen los caballos. Véase q'uejel
5408,173,ta xqluejev,vi,verbo intransitivo,verbo,se hace a un lado,,,,,,ta xqluejev vi se hace a un lado
5409,173,ta xq'uejin,,,variante dialectal,"canta, gorjea Véase",,Ch'en,Chenalhó,ta xq'ueojin; ta xc'opoj ta xq!uejp'uj,,"ta xq'uejin Ch'en canta, gorjea Véase ta xq'ueojin; ta xc'opoj ta xq!uejp'uj"
5410,174,ta xqluejptuj,vi,verbo intransitivo,verbo,se cae de rodillas,,,,q'uejel,,ta xqluejptuj vi se cae de rodillas Véase q'uejel
5411,174,ta xqluelomaj,vi,verbo intransitivo,verbo,retoña ta,"Li j'ilvaneje ta xq'uelvan avi, xi.",Ch'en,Chenalhó,"q'uelom-te' ta xqluelvan ví cura, mira; q'uelel",,"ta xqluelomaj vi retoña Ch'en ta xq'uelumaj Véase q'uelom-te' ta xqluelvan ví cura, mira. Li j'ilvaneje ta xq'uelvan avi, xi. El yerbero dice que ahora va a curar. Véase q'uelel"
5412,174,ta xq'ueojin,vi,verbo intransitivo,verbo,"canta, gorjea (un",Li avie ta xq'uep xa balumil yutun xvinaj xa li ctactale.,,,"q'ueoj ta xqluep ví se compone (el tiempo), se despeja",un pájaro; el tiempo,"ta xq'ueojin vi canta, gorjea (un pájaro) Véase q'ueoj ta xqluep ví se compone (el tiempo), se despeja. Li avie ta xq'uep xa balumil yutun xvinaj xa li ctactale. Ya se va a componer el tiempo"
5413,174,porque ya se,ve,verbo de estado,verbo,el sol. Véase,,,,q'uepel,,porque ya se ve el sol. Véase q'uepel
5414,174,ta xqluevujin,,,variante dialectal,canta,,Zin,Zinacantán,ta xq'ueojin,,ta xqluevujin Zin canta Véase ta xq'ueojin
5415,174,ta xqluex,vi,verbo intransitivo,verbo,se cambia Véase,,,,q'uexel,,ta xqluex vi se cambia Véase q'uexel
