veintiocho letras,ejemplo utilizar tsotsil, ejemplo utilizar traducido en español, otro significado
a,aj,carrizo
b,bot,granizo
c,cots,gallo
c',c'ac'al,el sol,el dia
ch,chabje,antier
ch',ch'abal,no haysmich'oj sctob
e,ep,mucho
i,
