Número,Tsotsil
234,chanlajuneb slajchaebvinik
235,jo'lajuneb slajchaebvinik
236,vaclajuneb slajchaebvinik
237,vuklajuneb slajchaebvinik
238,vaxacklajuneb slajchaebvinik
239,balunlajuneb slajchaebvinik
240,lajchaebvinik
241,jun soxlajunvinik
242,chib soxlajunvinik
243,oxib soxlajunvinik
244,chanib soxlajunvinik
245,jo'ob soxlajunvinik
246,vakib soxlajunvinik
247,jukub soxlajunvinik
248,vaxakib soxlajunvinik
249,baluneb soxlajunvinik
250,lajuneb soxlajunvinik
251,buluchib soxlajunvinik
252,lajchaeb soxlajunvinik
253,oxlajuneb soxlajunvinik
254,chanlajuneb soxlajunvinik
255,jo'lajuneb soxlajunvinik
256,vaclajuneb soxlajunvinik
257,vuklajuneb soxlajunvinik
258,vaxacklajuneb soxlajunvinik
259,balunlajuneb soxlajunvinik
260,oxlajunvinik
261,jun schanlajunvinik
262,chib schanlajunvinik
263,oxib schanlajunvinik
264,chanib schanlajunvinik
265,jo'ob schanlajunvinik
266,vakib schanlajunvinik
267,jukub schanlajunvinik
268,vaxakib schanlajunvinik
269,baluneb schanlajunvinik
270,lajuneb schanlajunvinik
271,buluchib schanlajunvinik
272,lajchaeb schanlajunvinik
273,oxlajuneb schanlajunvinik
274,chanlajuneb schanlajunvinik
275,jo'lajuneb schanlajunvinik
276,vaclajuneb schanlajunvinik
277,vuklajuneb schanlajunvinik
278,vaxacklajuneb schanlajunvinik
279,balunlajuneb schanlajunvinik
280,chanlajunvinik
281,jun sjo'lajunvinik
282,chib sjo'lajunvinik
283,oxib sjo'lajunvinik
284,chanib sjo'lajunvinik
285,jo'ob sjo'lajunvinik
286,vakib sjo'lajunvinik
287,jukub sjo'lajunvinik
288,vaxakib sjo'lajunvinik
289,baluneb sjo'lajunvinik
290,lajuneb sjo'lajunvinik
291,buluchib sjo'lajunvinik
292,lajchaeb sjo'lajunvinik
293,oxlajuneb sjo'lajunvinik
294,chanlajuneb sjo'lajunvinik
295,jo'lajuneb sjo'lajunvinik
296,vaclajuneb sjo'lajunvinik
297,vuklajuneb sjo'lajunvinik
298,vaxacklajuneb sjo'lajunvinik
299,balunlajuneb sjo'lajunvinik
300,jo'lajunvinik
301,jun svaclajunvinik
302,chib svaclajunvinik
303,oxib svaclajunvinik
304,chanib svaclajunvinik
305,jo'ob svaclajunvinik
306,vakib svaclajunvinik
307,jukub svaclajunvinik
308,vaxakib svaclajunvinik
309,baluneb svaclajunvinik
310,lajuneb svaclajunvinik
311,buluchib svaclajunvinik
312,lajchaeb svaclajunvinik
313,oxlajuneb svaclajunvinik
314,chanlajuneb svaclajunvinik
315,jo'lajuneb svaclajunvinik
316,vaclajuneb svaclajunvinik
317,vuklajuneb svaclajunvinik
318,vaxacklajuneb svaclajunvinik
319,balunlajuneb svaclajunvinik
320,vaclajunvinik
321,jun svuklajunvinik
322,chib svuklajunvinik
323,oxib svuklajunvinik
324,chanib svuklajunvinik
325,jo'ob svuklajunvinik
326,vakib svuklajunvinik
327,jukub svuklajunvinik
328,vaxakib svuklajunvinik
329,baluneb svuklajunvinik
330,lajuneb svuklajunvinik
331,buluchib svuklajunvinik
332,lajchaeb svuklajunvinik
333,oxlajuneb svuklajunvinik
334,chanlajuneb svuklajunvinik
335,jo'lajuneb svuklajunvinik
336,vaclajuneb svuklajunvinik
337,vuklajuneb svuklajunvinik
338,vaxacklajuneb svuklajunvinik
339,balunlajuneb svuklajunvinik
340,vuklajunvinik
341,jun svaxacklajunvinik
342,chib svaxacklajunvinik
343,oxib svaxacklajunvinik
344,chanib svaxacklajunvinik
345,jo'ob svaxacklajunvinik
346,vakib svaxacklajunvinik
347,jukub svaxacklajunvinik
348,vaxakib svaxacklajunvinik
349,baluneb svaxacklajunvinik
350,lajuneb svaxacklajunvinik
351,buluchib svaxacklajunvinik
352,lajchaeb svaxacklajunvinik
353,oxlajuneb svaxacklajunvinik
354,chanlajuneb svaxacklajunvinik
355,jo'lajuneb svaxacklajunvinik
356,vaclajuneb svaxacklajunvinik
357,vuklajuneb svaxacklajunvinik
358,vaxacklajuneb svaxacklajunvinik
359,balunlajuneb svaxacklajunvinik
360,vaxacklajunvinik
361,jun sbalunlajunvinik
362,chib sbalunlajunvinik
363,oxib sbalunlajunvinik
364,chanib sbalunlajunvinik
